"Station","Name","Hydro.Unit","River","Latitude","Longitude","WaterCode","WaterBodyID","Elevation","County","State","NearCity"
"793","Above Lincoln",14010004,"Roaring Fk",39.1179,-106.6967,21751,"COUCRF02",9597,"Pitkin","CO","Aspen"
"841","Below Lincoln",14010004,"Roaring Fk",39.118,-106.6973,21749,"COUCRF02",9598,"Pitkin","CO","Aspen"
"769","Difficult CG",14010004,"Roaring Fk",39.1402108,-106.7736625,21749,"COUCRF02",8100,"Eagle","CO","Aspen"
"770","Mill St Br",14010004,"Roaring Fk",39.21088999,-106.839672,21737,"COUCRF02",7900,"Pitkin","CO","Aspen"
"487","Above Ruby",14010004,"Lincoln Cr",39.01588851,-106.6081822,20987,"COUCRF02",11400,"Pitkin","CO","Aspen"
"488","Below Ruby",14010004,"Lincoln Cr",39.02366445,-106.6121126,20987,"COUCRF02",11380,"Pitkin","CO","Aspen"
"489","Campsite",14010004,"Lincoln Cr",39.11760707,-106.6972191,20987,"COUCRF02",9600,"Pitkin","CO","Aspen"
"840","Confluence",14010004,"Lincoln Cr",39.11760707,-106.6972191,20987,"COUCRF02",9650,"Pitkin","CO","Aspen"
"842","New York Cr",14010004,"Lincoln Cr",39.092908,-106.659788,20987,"COUCRF02",10066,"Pitkin","CO","Aspen"
"843","Below dam",14010004,"Lincoln Cr",39.08035994,-106.6172289,20987,"COUCRF02",10650,"Pitkin","CO","Aspen"
"844","Before reservoir",14010004,"Lincoln Cr",39.07554683,-106.6147377,20987,"COUCRF02",10750,"Pitkin","CO","Aspen"
"845","At Road Crossing",14010004,"Lincoln Cr",39.03038572,-106.616713,20987,"COUCRF02",11350,"Pitkin","CO","Aspen"
"847","Above Ruby Flow",14010004,"Lincoln Cr",39.0212,-106.6097,20987,"COUCRF02",11372,"Pitkin","CO","Aspen"
"848","Above Ruby Mine",14010004,"Lincoln Cr",39.01588851,-106.6081822,20987,"COUCRF02",11700,"Pitkin","CO","Aspen"
"846","Adit #1",14010004,"Ruby Outflow",39.01902251,-106.6089578,20987,"COUCRF02",11700,"Pitkin","CO","Aspen"
"3338","Petroleum Lk Outlet Cr",14010004,"Trail Cr",39.0248,-106.6229,20987,"COUCRF03A",11615,"Pitkin","CO","Aspen"
"67","Herron Park Br",14010004,"Roaring Fk",39.20085691,-106.8239393,21737,"COUCRF02",7800,"Pitkin","CO","Aspen"
"68","Slaughterhouse",14010004,"Roaring Fk",39.21088999,-106.839672,21737,"COUCRF02",7716,"Pitkin","CO","Aspen"
"71","Gerbaz Br",14010004,"Roaring Fk",39.29786384,-106.9216346,21737,"COUCRF02",7120,"Pitkin","CO","Aspen"
"775","Below RF Club",14010004,"Roaring Fk",39.35710053,-107.0258974,21737,"COUCRF03A",6900,"Eagle","CO","Basalt"
"72","7-11 Br",14010004,"Roaring Fk",39.36598248,-107.0337335,21725,"COUCRF03A",6600,"Eagle","CO","Basalt"
"777","Midland Ave Br",14010004,"Roaring Fk",39.36749429,-107.0364122,21725,"COUCRF03A",6850,"Eagle","CO","Basalt"
"779","Emma",14010004,"Roaring Fk",39.37329362,-107.0838842,21725,"COUCRF03A",6870,"Eagle","CO","Basalt"
"66","Hwy 82 Br",14010004,"Castle Cr",39.19510661,-106.8332391,19465,"COUCRF03A",7867,"Pitkin","CO","Aspen"
"69","Highlands",14010004,"Maroon Cr",39.17827542,-106.8616615,21078,"COUCRF02",8021,"Pitkin","CO","Aspen"
"70","Woody Cr Br",14010004,"Woody Cr",39.27737666,-106.8885226,22866,"COUCRF02",7180,"Pitkin","CO","Aspen"
"292","Castle Cr",14010004,"Castle Cr",39.19142959,-106.8344403,19465,"COUCRF03A",8600,"Eagle","CO","Aspen"
"773","Capitol Cr",14010004,"Capitol Cr",39.31252897,-106.9819758,19439,"COUCRF03A",7100,"Pitkin","CO","Aspen"
"774","Snowmass Cr",14010004,"Snowmass Cr",39.33110797,-106.9861549,22056,"COUCRF03A",7100,"Pitkin","CO","Aspen"
"778","Sopris Cr",14010004,"Sopris Cr",39.51366375,-107.3128382,22094,"COUCRF03A",6850,"Eagle","CO","Basalt"
"781","Cattle Cr",14010004,"Cattle Cr",39.46103099,-107.2708574,21713,"COUCRF03A",5920,"Garfield","CO","Carbondale"
"785","Bershenyi Ranch ",14010004,"Fourmile Cr",39.50786115,-107.3065282,20331,"COUCRF03A",6520,"Garfield","CO","Glenwood Spgs"
"789","Below Sunlight",14010004,"Fourmile Cr",39.4009,-107.323,20331,"COUCRF03A",7784,"Garfield","CO","Glenwood Springs"
"3484","At Snowmobile Parking Lot",14010004,"Fourmile Cr",39.40394858,-107.3608506,20331,"COUCRF03A",8634,"Garfield","CO","Glenwood Springs"
"3485","At Fourmile Pk",14010004,"Fourmile Cr",39.38813635,-107.3952641,20331,"COUCRF03A",8932,"Garfield","CO","Glenwood Springs"
"7812","At CR112",14010004,"Cattle Cr",39.45903606,-107.2041275,19491,"COUCRF03A",6525,"Garfield","CO","Carbondale"
"7813","At CR 122 Br",14010004,"Cattle Cr",39.4603,-107.0983,19491,"COUCRF03A",7450,"Eagle","CO","El Jebel"
"7888","Hwy 82 Culvert",14010004,"Cattle Cr",39.45647867,-107.2622139,19491,"COUCRF03A",5980,"Garfield","CO","Carbondale"
"7889","Catherine Store Road Junction",14010004,"Cattle Cr",39.46098517,-107.1408109,19491,"COUCRF03A",7051,"Garfield","CO","Carbondale"
"7890","Abv Sunlight",14010004,"Fourmile Cr",39.40398265,-107.3605034,20331,"COUCRF03A",8602,"Garfield","CO","Glenwood Springs"
"76","Catherine Br",14010004,"Roaring Fk",39.39960676,-107.1538197,21713,"COUCRF03C",6273,"Garfield","CO","Carbondale"
"780","Ranch at R Fk",14010004,"Roaring Fk",39.40481242,-107.1718412,21725,"COUCRF03C",6200,"Garfield","CO","Carbondale"
"79","Henke Br",14010004,"Roaring Fk",39.41704329,-107.2305875,21713,"COUCRF08",6080,"Garfield","CO","Glenwood Spgs"
"784","Westbank Bridge",14010004,"Roaring Fk",39.28448363,-107.1717007,21713,"COUCRF03C",5922,"Garfield","CO","Carbondale"
"786","Park East",14010004,"Roaring Fk",39.51366375,-107.3128382,21713,"COUCRF03C",6000,"Garfield","CO","Glenwood Spgs"
"45","7th St Br",14010004,"Roaring Fk",39.54677261,-107.3304035,21713,"COUCRF03C",5720,"Garfield","CO","Glenwood Spgs"
"889","Snowmass Chapel",14010004,"Brush Cr",39.21479072,-106.9374935,25951,"COUCRF04",8190,"Pitkin","CO","Basalt"
"888","Clubhouse Drive Br",14010004,"Brush Cr",39.22018716,-106.9233946,25951,"COUCRF02",7951,"Pitkin","CO","Snowmass Village"
"811","Blw SMV WWTP",14010004,"Brush Cr",39.2204,-106.9228,25951,"COUCRF02",7926,"Pitkin","CO","Snowmass Village"
"887","Abv Roundabout",14010004,"Brush Cr",39.22458597,-106.9210937,25951,"COUCRF02",7890,"Pitkin","CO","Snowmass Village"
"7712","Blw Snowmass Village Br",14010004,"Brush Cr",39.22850269,-106.9168795,25951,"COUCRF04",7970,"Pitkin","CO","Snowmass Village"
"771","Hwy 82 Bridge",14010004,"Brush Cr",39.26112848,-106.8870549,23832,"COUCRF04",7250,"Pitkin","CO","Aspen"
"776","Meredith",14010004,"Frying Pan",39.36239274,-106.7328779,20406,"COUCRF06",7800,"Eagle","CO","Basalt"
"733","Baetis Br",14010004,"Frying Pan",39.36260606,-106.8295796,20393,"COUCRF06",6350,"Eagle","CO","Basalt"
"732","Below Seven Castles",14010004,"Frying Pan",39.37950328,-106.9710873,20393,"COUCRF06",6300,"Garfield","CO","Basalt"
"73","Upper Basalt Br",14010004,"Frying Pan",39.36900434,-107.0304318,23468,"COUCRF06",6600,"Eagle","CO","Basalt"
"735","Genter Mine Br",14010004,"Crystal",39.0854071,-107.2424352,19871,"COUCRF08",7680,"Gunnison","CO","Marble"
"736","Below Redstone",14010004,"Crystal",39.20173076,-107.231691,19871,"COUCRF08",7120,"Gunnison","CO","Redstone"
"77","Penny Hot Spgs",14010004,"Crystal",39.22352866,-107.2253852,19883,"COUCRF08",6920,"Garfield","CO","Redstone"
"74","Gray Ranch",14010004,"Crystal",39.34935117,-107.208149,19883,"COUCRF08",6297,"Garfield","CO","Carbondale"
"75","Hatchery",14010004,"Crystal",39.37736461,-107.2046668,19883,"COUCRF08",6220,"Garfield","CO","Carbondale"
"6026","Well #2",14010004,"Crystal",39.3777,-107.2037,19883,"COUCRF08",6240,"Garfield","CO","Carbondale"
"6027","Well #1",14010004,"Crystal",39.3778,-107.2037,19883,"COUCRF08",6240,"Garfield","CO","Carbondale"
"6219","Well #3",14010004,"Crystal",39.3778,-107.2036,19883,"COUCRF08",6240,"Garfield","CO","Carbondale"
"78","CRMS Crystal Br",14010004,"Crystal",39.40804533,-107.2295226,19883,"COUCRF08",6100,"Garfield","CO","Carbondale"
"783","Coryell Ranch",14010004,"Crystal",39.46580989,-107.2734188,19871,"COUCRF08",6450,"Pitkin","CO","Carbondale"
"782","Redstone Park @ Confluence",14010004,"Coal Cr",39.1978445,-107.2967226,23907,"COUCRF09",7300,"Pitkin","CO","Redstone"
"723","Thompson Cr",14010004,"Thompson Cr",39.33358399,-107.2096017,26422,"COUCRF10",6365,"Pitkin","CO","Carbondale"
"3486","Mid Thomson Cr Pk",14010004,"Mid Thompson Cr",39.28827718,-107.3724142,24620,"COUCRF10",9874,"Garfield","CO","Glenwood Springs"
"3540","Thompson Cr BLM",14010004,"Thompson Cr",39.33267675,-107.2156174,26422,"COUCRF10",7050,"Pitkin","CO","Carbondale"
"3844*","Baylor Park",14010004,"N Thompson Cr",39.3286,-107.433,22359,"COUCRF10",9316,"Pitkin","CO","Glenwood Springs"
"3845**","Below Park Cr",14010004,"N Thompson Cr",39.3358,-107.4076,22359,"COUCRF10",9149,"Pitkin","CO","Glenwood Springs"
"4300***","Trib A",14010004,"N Thompson Cr",39.319568,-107.426072,22359,"COUCRF10",9386,"Pitkin","CO","Carbondale"
"4301****","Trib B",14010004,"N Thompson Cr",39.3091,-107.4237,22359,"COUCRF10",9604,"Pitkin","CO","Glenwood Springs"
"7775","Above Diversion",14010004,"Thompson Cr",39.33199,-107.21929,26422,"COUCRF10",6439,"Pitkin","CO","Carbondale"
